id,der_id,scenario,date,value
1258,10,4,2037-07-11 00:00:00,194.40730047939815
1259,10,4,2037-01-24 00:00:00,196.3109942447474
1260,10,4,2037-09-05 00:00:00,185.6353023560342
1261,10,4,2037-06-20 00:00:00,188.32524635579688
1262,10,4,2037-07-11 00:00:00,194.40730047939815
1263,10,4,2037-01-24 00:00:00,196.3109942447474
1264,10,4,2037-09-05 00:00:00,185.6353023560342
1265,10,3,2037-03-21 00:00:00,158.63780307565773
1266,10,3,2037-12-12 00:00:00,220.87079435292523
1267,10,3,2037-11-21 00:00:00,174.49980197080987
1268,10,3,2037-11-28 00:00:00,167.42972519901988
1269,10,4,2037-06-20 00:00:00,188.32524635579688
1270,10,4,2037-07-11 00:00:00,194.40730047939815
1271,10,4,2037-01-24 00:00:00,196.3109942447474
1272,10,4,2037-09-05 00:00:00,185.6353023560342
1273,10,4,2037-06-20 00:00:00,188.32524635579688
1274,10,4,2037-07-11 00:00:00,194.40730047939815
1275,10,4,2037-01-24 00:00:00,196.3109942447474
1276,10,4,2037-09-05 00:00:00,185.6353023560342
1277,10,4,2037-06-20 00:00:00,188.32524635579688
1278,10,4,2037-07-11 00:00:00,194.40730047939815
1279,10,4,2037-01-24 00:00:00,196.3109942447474
1280,10,4,2037-09-05 00:00:00,185.6353023560342
