id,id_ess,scenario,date,value
1,9,1,2022-07-01 00:00:00,1439277.7999999998
2,9,1,2023-07-01 00:00:00,1447832.1999999997
3,9,1,2024-07-01 00:00:00,1362288.2
4,9,1,2025-07-01 00:00:00,1287437.2
5,9,1,2026-07-01 00:00:00,1223279.2
6,9,1,2027-07-01 00:00:00,1189061.6
7,9,1,2028-07-01 00:00:00,1156982.5999999999
8,9,1,2029-07-01 00:00:00,1122764.9999999998
9,9,1,2030-07-01 00:00:00,1090686
10,9,1,2031-07-01 00:00:00,1056468.4
11,9,1,2032-07-01 00:00:00,1024389.4
12,9,1,2033-07-01 00:00:00,990171.7999999999
13,9,1,2034-07-01 00:00:00,958092.7999999999
14,9,1,2035-07-01 00:00:00,923875.2
15,9,1,2036-07-01 00:00:00,891796.1999999998
16,9,1,2037-07-01 00:00:00,857578.6
17,9,1,2038-07-01 00:00:00,840469.7999999999
18,9,1,2039-07-01 00:00:00,827638.2
19,9,1,2040-07-01 00:00:00,812667.9999999999
20,9,1,2041-07-01 00:00:00,799836.3999999999
21,9,1,2042-07-01 00:00:00,791281.9999999999
22,9,1,2043-07-01 00:00:00,782727.6
23,9,1,2044-07-01 00:00:00,767757.3999999999
24,9,1,2045-07-01 00:00:00,757064.4
25,9,1,2046-07-01 00:00:00,746371.4
26,9,1,2047-07-01 00:00:00,737816.9999999999
27,9,1,2048-07-01 00:00:00,731401.2
28,9,1,2049-07-01 00:00:00,722846.7999999999
29,9,1,2050-07-01 00:00:00,716430.9999999999
30,9,1,2051-07-01 00:00:00,714292.3999999999
31,9,1,2052-07-01 00:00:00,714292.3999999999
32,9,1,2053-07-01 00:00:00,710015.2
33,9,2,2022-07-01 00:00:00,1439277.7999999998
34,9,2,2023-07-01 00:00:00,1447832.1999999997
35,9,2,2024-07-01 00:00:00,1330209.2
36,9,2,2025-07-01 00:00:00,1229695
37,9,2,2026-07-01 00:00:00,1137735.2
38,9,2,2027-07-01 00:00:00,1056468.4
39,9,2,2028-07-01 00:00:00,981617.4
40,9,2,2029-07-01 00:00:00,915320.7999999999
41,9,2,2030-07-01 00:00:00,857578.6
42,9,2,2031-07-01 00:00:00,806252.2
43,9,2,2032-07-01 00:00:00,791281.9999999999
44,9,2,2033-07-01 00:00:00,776311.7999999999
45,9,2,2034-07-01 00:00:00,761341.6
46,9,2,2035-07-01 00:00:00,748510
47,9,2,2036-07-01 00:00:00,735678.3999999999
48,9,2,2037-07-01 00:00:00,722846.7999999999
49,9,2,2038-07-01 00:00:00,710015.2
50,9,2,2039-07-01 00:00:00,699322.2
51,9,2,2040-07-01 00:00:00,688629.2
52,9,2,2041-07-01 00:00:00,677936.2
53,9,2,2042-07-01 00:00:00,669381.8
54,9,2,2043-07-01 00:00:00,662965.9999999999
55,9,2,2044-07-01 00:00:00,652272.9999999999
56,9,2,2045-07-01 00:00:00,643718.6
57,9,2,2046-07-01 00:00:00,635164.2
58,9,2,2047-07-01 00:00:00,628748.3999999999
59,9,2,2048-07-01 00:00:00,620194
60,9,2,2049-07-01 00:00:00,613778.2
61,9,2,2050-07-01 00:00:00,607362.4
62,9,2,2051-07-01 00:00:00,600946.6
63,9,2,2052-07-01 00:00:00,594530.8
64,9,2,2053-07-01 00:00:00,588115
65,9,3,2022-07-01 00:00:00,1439277.7999999998
66,9,3,2023-07-01 00:00:00,1447832.1999999997
67,9,3,2024-07-01 00:00:00,1287437.2
68,9,3,2025-07-01 00:00:00,1152705.4
69,9,3,2026-07-01 00:00:00,1041498.2
70,9,3,2027-07-01 00:00:00,945261.2
71,9,3,2028-07-01 00:00:00,863994.3999999999
72,9,3,2029-07-01 00:00:00,793420.6
73,9,3,2030-07-01 00:00:00,735678.3999999999
74,9,3,2031-07-01 00:00:00,658688.7999999999
75,9,3,2032-07-01 00:00:00,647995.7999999999
76,9,3,2033-07-01 00:00:00,639441.3999999999
77,9,3,2034-07-01 00:00:00,630887
78,9,3,2035-07-01 00:00:00,622332.6
79,9,3,2036-07-01 00:00:00,613778.2
80,9,3,2037-07-01 00:00:00,605223.7999999999
81,9,3,2038-07-01 00:00:00,596669.4
82,9,3,2039-07-01 00:00:00,590253.6
83,9,3,2040-07-01 00:00:00,581699.2
84,9,3,2041-07-01 00:00:00,573144.7999999999
85,9,3,2042-07-01 00:00:00,566728.9999999999
86,9,3,2043-07-01 00:00:00,560313.2
87,9,3,2044-07-01 00:00:00,553897.3999999999
88,9,3,2045-07-01 00:00:00,545343
89,9,3,2046-07-01 00:00:00,538927.2
90,9,3,2047-07-01 00:00:00,532511.4
91,9,3,2048-07-01 00:00:00,526095.6
92,9,3,2049-07-01 00:00:00,519679.8
93,9,3,2050-07-01 00:00:00,515402.60000000003
94,9,3,2051-07-01 00:00:00,508986.8
95,9,3,2052-07-01 00:00:00,502570.99999999994
96,9,3,2053-07-01 00:00:00,496155.19999999995
97,10,1,2022-07-01 00:00:00,1439277.7999999998
98,10,1,2023-07-01 00:00:00,1447832.1999999997
99,10,1,2024-07-01 00:00:00,1362288.2
100,10,1,2025-07-01 00:00:00,1287437.2
101,10,1,2026-07-01 00:00:00,1223279.2
102,10,1,2027-07-01 00:00:00,1189061.6
103,10,1,2028-07-01 00:00:00,1156982.5999999999
104,10,1,2029-07-01 00:00:00,1122764.9999999998
105,10,1,2030-07-01 00:00:00,1090686
106,10,1,2031-07-01 00:00:00,1056468.4
107,10,1,2032-07-01 00:00:00,1024389.4
108,10,1,2033-07-01 00:00:00,990171.7999999999
109,10,1,2034-07-01 00:00:00,958092.7999999999
110,10,1,2035-07-01 00:00:00,923875.2
111,10,1,2036-07-01 00:00:00,891796.1999999998
112,10,1,2037-07-01 00:00:00,857578.6
113,10,1,2038-07-01 00:00:00,840469.7999999999
114,10,1,2039-07-01 00:00:00,827638.2
115,10,1,2040-07-01 00:00:00,812667.9999999999
116,10,1,2041-07-01 00:00:00,799836.3999999999
117,10,1,2042-07-01 00:00:00,791281.9999999999
118,10,1,2043-07-01 00:00:00,782727.6
119,10,1,2044-07-01 00:00:00,767757.3999999999
120,10,1,2045-07-01 00:00:00,757064.4
121,10,1,2046-07-01 00:00:00,746371.4
122,10,1,2047-07-01 00:00:00,737816.9999999999
123,10,1,2048-07-01 00:00:00,731401.2
124,10,1,2049-07-01 00:00:00,722846.7999999999
125,10,1,2050-07-01 00:00:00,716430.9999999999
126,10,1,2051-07-01 00:00:00,714292.3999999999
127,10,1,2052-07-01 00:00:00,714292.3999999999
128,10,1,2053-07-01 00:00:00,710015.2
129,10,2,2022-07-01 00:00:00,1439277.7999999998
130,10,2,2023-07-01 00:00:00,1447832.1999999997
131,10,2,2024-07-01 00:00:00,1330209.2
132,10,2,2025-07-01 00:00:00,1229695
133,10,2,2026-07-01 00:00:00,1137735.2
134,10,2,2027-07-01 00:00:00,1056468.4
135,10,2,2028-07-01 00:00:00,981617.4
136,10,2,2029-07-01 00:00:00,915320.7999999999
137,10,2,2030-07-01 00:00:00,857578.6
138,10,2,2031-07-01 00:00:00,806252.2
139,10,2,2032-07-01 00:00:00,791281.9999999999
140,10,2,2033-07-01 00:00:00,776311.7999999999
141,10,2,2034-07-01 00:00:00,761341.6
142,10,2,2035-07-01 00:00:00,748510
143,10,2,2036-07-01 00:00:00,735678.3999999999
144,10,2,2037-07-01 00:00:00,722846.7999999999
145,10,2,2038-07-01 00:00:00,710015.2
146,10,2,2039-07-01 00:00:00,699322.2
147,10,2,2040-07-01 00:00:00,688629.2
148,10,2,2041-07-01 00:00:00,677936.2
149,10,2,2042-07-01 00:00:00,669381.8
150,10,2,2043-07-01 00:00:00,662965.9999999999
151,10,2,2044-07-01 00:00:00,652272.9999999999
152,10,2,2045-07-01 00:00:00,643718.6
153,10,2,2046-07-01 00:00:00,635164.2
154,10,2,2047-07-01 00:00:00,628748.3999999999
155,10,2,2048-07-01 00:00:00,620194
156,10,2,2049-07-01 00:00:00,613778.2
157,10,2,2050-07-01 00:00:00,607362.4
158,10,2,2051-07-01 00:00:00,600946.6
159,10,2,2052-07-01 00:00:00,594530.8
160,10,2,2053-07-01 00:00:00,588115
161,10,3,2022-07-01 00:00:00,1439277.7999999998
162,10,3,2023-07-01 00:00:00,1447832.1999999997
163,10,3,2024-07-01 00:00:00,1287437.2
164,10,3,2025-07-01 00:00:00,1152705.4
165,10,3,2026-07-01 00:00:00,1041498.2
166,10,3,2027-07-01 00:00:00,945261.2
167,10,3,2028-07-01 00:00:00,863994.3999999999
168,10,3,2029-07-01 00:00:00,793420.6
169,10,3,2030-07-01 00:00:00,735678.3999999999
170,10,3,2031-07-01 00:00:00,658688.7999999999
171,10,3,2032-07-01 00:00:00,647995.7999999999
172,10,3,2033-07-01 00:00:00,639441.3999999999
173,10,3,2034-07-01 00:00:00,630887
174,10,3,2035-07-01 00:00:00,622332.6
175,10,3,2036-07-01 00:00:00,613778.2
176,10,3,2037-07-01 00:00:00,605223.7999999999
177,10,3,2038-07-01 00:00:00,596669.4
178,10,3,2039-07-01 00:00:00,590253.6
179,10,3,2040-07-01 00:00:00,581699.2
180,10,3,2041-07-01 00:00:00,573144.7999999999
181,10,3,2042-07-01 00:00:00,566728.9999999999
182,10,3,2043-07-01 00:00:00,560313.2
183,10,3,2044-07-01 00:00:00,553897.3999999999
184,10,3,2045-07-01 00:00:00,545343
185,10,3,2046-07-01 00:00:00,538927.2
186,10,3,2047-07-01 00:00:00,532511.4
187,10,3,2048-07-01 00:00:00,526095.6
188,10,3,2049-07-01 00:00:00,519679.8
189,10,3,2050-07-01 00:00:00,515402.60000000003
190,10,3,2051-07-01 00:00:00,508986.8
191,10,3,2052-07-01 00:00:00,502570.99999999994
192,10,3,2053-07-01 00:00:00,496155.19999999995
193,11,1,2022-07-01 00:00:00,1439277.7999999998
194,11,1,2023-07-01 00:00:00,1447832.1999999997
195,11,1,2024-07-01 00:00:00,1362288.2
196,11,1,2025-07-01 00:00:00,1287437.2
197,11,1,2026-07-01 00:00:00,1223279.2
198,11,1,2027-07-01 00:00:00,1189061.6
199,11,1,2028-07-01 00:00:00,1156982.5999999999
