id,ess_id,scenario,date,value
1,1,2,2023-07-01 00:00:00,0
2,1,2,2024-07-01 00:00:00,0
3,1,2,2025-07-01 00:00:00,0
4,1,2,2026-07-01 00:00:00,0
5,1,2,2027-07-01 00:00:00,0
6,1,2,2028-07-01 00:00:00,0.00003559
7,1,2,2029-07-01 00:00:00,0.00003559
8,1,2,2030-07-01 00:00:00,0.00005549
9,1,2,2031-07-01 00:00:00,0.00005549
10,1,2,2032-07-01 00:00:00,0.00005549
11,1,2,2033-07-01 00:00:00,0.0000555
12,1,2,2034-07-01 00:00:00,0.00005609
13,1,2,2035-07-01 00:00:00,0.00016308999999999999
14,1,2,2036-07-01 00:00:00,0.00016308999999999999
15,1,2,2037-07-01 00:00:00,350.26813755
16,1,2,2038-07-01 00:00:00,350.26813762
17,1,2,2039-07-01 00:00:00,500.33292711
18,1,2,2040-07-01 00:00:00,888.96861811
19,1,2,2041-07-01 00:00:00,888.96861811
20,1,2,2042-07-01 00:00:00,924.83478336
21,1,2,2043-07-01 00:00:00,924.8348954699999
22,1,2,2044-07-01 00:00:00,1119.4431886300001
23,1,2,2045-07-01 00:00:00,2434.0024687200003
24,1,2,2046-07-01 00:00:00,2936.6386159500003
25,1,2,2047-07-01 00:00:00,4072.45442624
26,1,2,2048-07-01 00:00:00,4072.4544263400003
27,1,2,2049-07-01 00:00:00,4133.68683728
28,1,2,2050-07-01 00:00:00,4133.6868374
29,1,1,2023-07-01 00:00:00,0
30,1,1,2024-07-01 00:00:00,0
31,1,1,2025-07-01 00:00:00,0
32,1,1,2026-07-01 00:00:00,0
33,1,1,2027-07-01 00:00:00,0
34,1,1,2028-07-01 00:00:00,0.00002056
35,1,1,2029-07-01 00:00:00,0.00002056
36,1,1,2030-07-01 00:00:00,0.00003117
37,1,1,2031-07-01 00:00:00,0.00003117
38,1,1,2032-07-01 00:00:00,0.00003117
39,1,1,2033-07-01 00:00:00,0.00003118
40,1,1,2034-07-01 00:00:00,0.00003119
41,1,1,2035-07-01 00:00:00,0.00003119
42,1,1,2036-07-01 00:00:00,0.0000312
43,1,1,2037-07-01 00:00:00,0.00003365
44,1,1,2038-07-01 00:00:00,0.00003446
45,1,1,2039-07-01 00:00:00,0.00003838
46,1,1,2040-07-01 00:00:00,0.00003838
47,1,1,2041-07-01 00:00:00,0.00003838
48,1,1,2042-07-01 00:00:00,0.00003838
49,1,1,2043-07-01 00:00:00,0.00003841
50,1,1,2044-07-01 00:00:00,125.45816104
51,1,1,2045-07-01 00:00:00,125.45816111
52,1,1,2046-07-01 00:00:00,766.03936458
53,1,1,2047-07-01 00:00:00,776.76542105
54,1,1,2048-07-01 00:00:00,776.76542105
55,1,1,2049-07-01 00:00:00,776.76542106
56,1,1,2050-07-01 00:00:00,817.94218715
57,1,3,2023-07-01 00:00:00,0
58,1,3,2024-07-01 00:00:00,0
59,1,3,2025-07-01 00:00:00,0
60,1,3,2026-07-01 00:00:00,0
61,1,3,2027-07-01 00:00:00,0
62,1,3,2028-07-01 00:00:00,0.00001306
63,1,3,2029-07-01 00:00:00,0.00001343
64,1,3,2030-07-01 00:00:00,225.99486288
65,1,3,2031-07-01 00:00:00,225.99486288
66,1,3,2032-07-01 00:00:00,225.99486288
67,1,3,2033-07-01 00:00:00,473.30950562
68,1,3,2034-07-01 00:00:00,555.17694104
69,1,3,2035-07-01 00:00:00,555.17694104
70,1,3,2036-07-01 00:00:00,1202.66380505
71,1,3,2037-07-01 00:00:00,1353.60261702
72,1,3,2038-07-01 00:00:00,1353.60261869
73,1,3,2039-07-01 00:00:00,1387.14424219
74,1,3,2040-07-01 00:00:00,1387.14424221
75,1,3,2041-07-01 00:00:00,1709.3614276
76,1,3,2042-07-01 00:00:00,1709.36142762
77,1,3,2043-07-01 00:00:00,1709.36142763
78,1,3,2044-07-01 00:00:00,1709.36142767
79,1,3,2045-07-01 00:00:00,1709.36142808
80,1,3,2046-07-01 00:00:00,1709.36142808
81,1,3,2047-07-01 00:00:00,1709.36142808
82,1,3,2048-07-01 00:00:00,1709.3614281
83,1,3,2049-07-01 00:00:00,1709.36142811
84,1,3,2050-07-01 00:00:00,1709.36142812
85,1,4,2023-07-01 00:00:00,0
86,1,4,2024-07-01 00:00:00,0
87,1,4,2025-07-01 00:00:00,0
88,1,4,2026-07-01 00:00:00,0
89,1,4,2027-07-01 00:00:00,0
90,1,4,2028-07-01 00:00:00,364.03780382
91,1,4,2029-07-01 00:00:00,364.03780382
92,1,4,2030-07-01 00:00:00,364.03805948
93,1,4,2031-07-01 00:00:00,364.03805948
94,1,4,2032-07-01 00:00:00,364.03805948
95,1,4,2033-07-01 00:00:00,364.03805950000003
96,1,4,2034-07-01 00:00:00,364.03805953
97,1,4,2035-07-01 00:00:00,364.03805958
98,1,4,2036-07-01 00:00:00,364.03805962
99,1,4,2037-07-01 00:00:00,364.03813748
100,1,4,2038-07-01 00:00:00,364.03850878000003
101,1,4,2039-07-01 00:00:00,364.03850881
102,1,4,2040-07-01 00:00:00,364.03850888
103,1,4,2041-07-01 00:00:00,1443.2242477700001
104,1,4,2042-07-01 00:00:00,1443.22424783
105,1,4,2043-07-01 00:00:00,1443.22424795
106,1,4,2044-07-01 00:00:00,1443.22424808
107,1,4,2045-07-01 00:00:00,1443.2242481600001
108,1,4,2046-07-01 00:00:00,1443.2242482
109,1,4,2047-07-01 00:00:00,1443.22424826
110,1,4,2048-07-01 00:00:00,1443.22424834
111,1,4,2049-07-01 00:00:00,1443.22424852
112,1,4,2050-07-01 00:00:00,1443.22424855
