id,name,total_energy,h2load_m3_per_hr,demand_timestep,convert2ammonia,density,junction_id,active,controllable,voll,contingency,export,domestic,steel
1,NEM_H2_EXPORT,0,0,1,0.000234194,0.08375,"1,3,5,7,9,11,13,15,17,19",1,0,75.26120005,0,1,0,0
2,NEM_H2_STEEL,0,0,1,0.000234194,0.08375,"1,3,5,7,9,11,13,15,17,19",1,0,75.26120005,0,0,0,1
3,QLD_H2_DOM,0,0,1,0.000234194,0.08375,"2,4,6",1,0,75.26120005,0,0,1,0
4,NSW_H2_DOM,0,0,1,0.000234194,0.08375,"8,10,12,14",1,0,75.26120005,0,0,1,0
5,VIC_H2_DOM,0,0,1,0.000234194,0.08375,16,1,0,75.26120005,0,0,1,0
6,TAS_H2_DOM,0,0,1,0.000234194,0.08375,18,1,0,75.26120005,0,0,1,0
7,SA_H2_DOM,0,0,1,0.000234194,0.08375,20,1,0,75.26120005,0,0,1,0
