id,id_ess,scenario,date,value
1,1,1,2025-07-01 00:00:00,0.4287558079504388
2,1,1,2030-07-01 00:00:00,0.678884873515746
3,1,1,2035-07-01 00:00:00,1.0407847186370676
4,1,1,2040-07-01 00:00:00,1.5534331440371707
5,1,1,2050-07-01 00:00:00,2.9648941662364483
6,1,2,2025-07-01 00:00:00,0.8324728962312855
7,1,2,2030-07-01 00:00:00,2.9153329891584927
8,1,2,2035-07-01 00:00:00,6.298657718120805
9,1,2,2040-07-01 00:00:00,10.31491997934951
10,1,2,2050-07-01 00:00:00,18.897263810015488
11,1,3,2025-07-01 00:00:00,0.8298915849251419
12,1,3,2030-07-01 00:00:00,3.7459989674754777
13,1,3,2035-07-01 00:00:00,8.123644811564274
14,1,3,2040-07-01 00:00:00,12.926948890036138
15,1,3,2050-07-01 00:00:00,21.67320598864223
16,2,1,2025-07-01 00:00:00,0.19075890552400618
17,2,1,2030-07-01 00:00:00,0.3020134228187919
18,2,1,2035-07-01 00:00:00,0.46308724832214765
19,2,1,2040-07-01 00:00:00,0.6910170366546206
20,2,1,2050-07-01 00:00:00,1.3190500774393392
21,2,2,2025-07-01 00:00:00,0.37041817243159525
22,2,2,2030-07-01 00:00:00,1.2971089313371194
23,2,2,2035-07-01 00:00:00,2.802271553949406
24,2,2,2040-07-01 00:00:00,4.589313371192565
25,2,2,2050-07-01 00:00:00,8.407589055240061
26,2,3,2025-07-01 00:00:00,0.36912751677852346
27,2,3,2030-07-01 00:00:00,1.6667527103768713
28,2,3,2035-07-01 00:00:00,3.614352090862158
29,2,3,2040-07-01 00:00:00,5.751419721218379
30,2,3,2050-07-01 00:00:00,9.642746515229737
31,3,1,2025-07-01 00:00:00,0.2555498193082086
32,3,1,2030-07-01 00:00:00,0.40474961280330407
33,3,1,2035-07-01 00:00:00,0.6208053691275167
34,3,1,2040-07-01 00:00:00,0.9264326277749096
35,3,1,2050-07-01 00:00:00,1.7681982447083118
36,3,2,2025-07-01 00:00:00,0.49664429530201337
37,3,2,2030-07-01 00:00:00,1.7387712958182755
38,3,2,2035-07-01 00:00:00,3.7568404749612805
39,3,2,2040-07-01 00:00:00,6.152297367062467
40,3,2,2050-07-01 00:00:00,11.27103768714507
41,3,3,2025-07-01 00:00:00,0.49483737738771294
42,3,3,2030-07-01 00:00:00,2.234383066597832
43,3,3,2035-07-01 00:00:00,4.845379452762003
44,3,3,2040-07-01 00:00:00,7.710118740320082
45,3,3,2050-07-01 00:00:00,12.926690758905524
46,4,1,2025-07-01 00:00:00,0.18378936499741869
47,4,1,2030-07-01 00:00:00,0.2909137842023748
48,4,1,2035-07-01 00:00:00,0.4463087248322148
49,4,1,2040-07-01 00:00:00,0.6659783169850284
50,4,1,2050-07-01 00:00:00,1.2710376871450697
51,4,2,2025-07-01 00:00:00,0.35699535363964896
