id,name,alias,fuel,tech,type,capacity,forate,bus_id,pmin,pmax,rup,rdw,investment,active,cvar,co2,slope,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency
56,Hunter Valley GT,HVGTS,Diesel,Diesel,Reciprocating Engine,50,0.930166285409347,5,10,50,9999,9999,0,1,478.1703828147349,1274.0174672489081,0.6,5,0,4,0,1,1,0,0.85,-32.389253,150.966396,1,1
58,Diesel_CNQ_1,Diesel_CNQ_1,Diesel,Diesel,Diesel,114.38,0.93,1,22.87,114.38,3,3,0,1,455.05,1179.17,0.6,11.44,0,4,0,1,1,0,0.85,-21.144566,149.159097,4,1
62,Snapper Point Power Station,Snapper Point Power Station,Diesel,Diesel,Reciprocating Engine,30.8,0.930166285409347,10,6.16,30.8,9999,9999,0,1,127.71344759167962,532.3935329999999,0.6,3.08,0,4,0,1,1,0,0.85,-34.765,138.5053,5,1
65,Hydro_CNQ,Hydro_CNQ,Hydro,Hydro,Hydro,25.4,0.9737670537352812,1,5.08,25.4,9999,9999,0,1,7.5463185840707965,0,0.6,2.54,0,2.5,0,1,1,0,0.85,-16.85086,145.6469,6,1
66,Hydro_TAS,Hydro_TAS,Hydro,Hydro,Hydro,48.37,0.9737670537352812,9,9.67,48.37,9999,9999,0,1,7.5463185840707965,0,0.6,4.84,0,2.5,0,1,1,0,0.85,-41.736,145.5321,45,1
67,Hydro_SNSW,Hydro_SNSW,Hydro,Hydro,Hydro,65.42,0.9737670537352812,7,13.08,65.42,9999,9999,0,1,7.5463185840707965,0,0.6,6.54,0,2.5,0,1,1,0,0.85,-35.3986,148.246272,12,1
68,Hydro_VIC,Hydro_VIC,Hydro,Hydro,Hydro,54.12,0.9737670537352812,8,10.82,54.12,9999,9999,0,1,7.5463185840707965,0,0.6,5.41,0,2.5,0,1,1,0,0.85,-36.8067,147.2287,41,1
95,RTPV_CNQ,RTPV_CNQ,Solar,RoofPV,RoofPV,100,1,1,0,100,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-24.401793,150.527562,1,0
96,RTPV_GG,RTPV_GG,Solar,RoofPV,RoofPV,100,1,2,0,100,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-23.842948,151.248803,1,0
97,RTPV_SQ,RTPV_SQ,Solar,RoofPV,RoofPV,100,1,3,0,100,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-27.476625,153.029934,1,0
98,RTPV_NNSW,RTPV_NNSW,Solar,RoofPV,RoofPV,100,1,4,0,100,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-30.504711,151.652465,1,0
99,RTPV_CNSW,RTPV_CNSW,Solar,RoofPV,RoofPV,100,1,5,0,100,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-33.4833,150.157717,1,0
100,RTPV_SNW,RTPV_SNW,Solar,RoofPV,RoofPV,100,1,6,0,100,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-33.865,151.209444,1,0
101,RTPV_SNSW,RTPV_SNSW,Solar,RoofPV,RoofPV,100,1,7,0,100,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-35.11098,147.359907,1,0
102,RTPV_VIC,RTPV_VIC,Solar,RoofPV,RoofPV,100,1,8,0,100,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-37.766053,144.943397,1,0
103,RTPV_TAS,RTPV_TAS,Solar,RoofPV,RoofPV,100,1,9,0,100,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-42.880556,147.325,1,0
104,RTPV_SA,RTPV_SA,Solar,RoofPV,RoofPV,100,1,10,0,100,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-34.929,138.601,1,0
105,LSPV_SA,LSPV_SA,Solar,LargePV,LargePV,565.34,1,10,0,565.34,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-34.929,138.601,1,0
106,LSPV_VIC,LSPV_VIC,Solar,LargePV,LargePV,1006.573,1,8,0,1006.573,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-37.766053,144.943397,1,0
107,LSPV_NNSW,LSPV_NNSW,Solar,LargePV,LargePV,721,1,4,0,721,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-30.504711,151.652465,1,0
108,LSPV_SQ,LSPV_SQ,Solar,LargePV,LargePV,1840.188,1,3,0,1840.188,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-27.476625,153.029934,1,0
109,LSPV_SNSW,LSPV_SNSW,Solar,LargePV,LargePV,1881.1479999999997,1,7,0,1881.1479999999997,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-35.11098,147.359907,1,0
110,LSPV_CNQ,LSPV_CNQ,Solar,LargePV,LargePV,1466.897,1,1,0,1466.897,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-24.401793,150.527562,1,0
111,LSPV_CNSW,LSPV_CNSW,Solar,LargePV,LargePV,927.595,1,5,0,927.595,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-33.4833,150.157717,1,0
112,LSPV_TAS,LSPV_TAS,Solar,LargePV,LargePV,0,1,9,0,0,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-42.880556,147.325,1,0
113,WIND_SA,WIND_SA,Wind,Wind,Wind,2349.71,1,10,0,2349.71,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-34.929,138.601,1,0
114,WIND_VIC,WIND_VIC,Wind,Wind,Wind,4023.8599999999988,1,8,0,4023.8599999999988,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-37.766053,144.943397,1,0
115,WIND_NNSW,WIND_NNSW,Wind,Wind,Wind,442.48,1,4,0,442.48,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-30.504711,151.652465,1,0
116,WIND_SQ,WIND_SQ,Wind,Wind,Wind,625.89,1,3,0,625.89,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-27.476625,153.029934,1,0
117,WIND_SNSW,WIND_SNSW,Wind,Wind,Wind,1816.25,1,7,0,1816.25,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-35.11098,147.359907,1,0
118,WIND_CNQ,WIND_CNQ,Wind,Wind,Wind,373.518,1,1,0,373.518,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-24.401793,150.527562,1,0
119,WIND_CNSW,WIND_CNSW,Wind,Wind,Wind,357.99,1,5,0,357.99,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-33.4833,150.157717,1,0
120,WIND_TAS,WIND_TAS,Wind,Wind,Wind,563.35,1,9,0,563.35,9999.9,9999.9,0,1,0,0,1,0,0,0,0,0,0,0,1,-42.880556,147.325,1,0
