id,name,node_id,problem_id,scenario,scene,active,dstart,dend
48,MAINTENANCE_LINES VIC->SA,18,67,2,6,1,2037-08-22 00:00:00,2037-08-28 23:00:00
49,MAINTENANCE_LINES VIC->SA,19,71,3,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
50,MAINTENANCE_LINES VIC->SA,20,74,4,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
51,MAINTENANCE_LINES VIC->SA,21,78,3,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
52,MAINTENANCE_LINES VIC->SA,22,83,4,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
53,MAINTENANCE_LINES VIC->SA,23,87,2,6,1,2037-08-22 00:00:00,2037-08-28 23:00:00
54,MAINTENANCE_LINES VIC->SA,24,90,3,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
55,MAINTENANCE_LINES VIC->SA,25,94,4,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
56,MAINTENANCE_LINES VIC->SA,26,97,3,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
57,MAINTENANCE_LINES VIC->SA,27,101,4,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
58,MAINTENANCE_LINES VIC->SA,28,105,4,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
59,MAINTENANCE_LINES VIC->SA,29,108,3,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
60,MAINTENANCE_LINES VIC->SA,30,111,4,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
61,MAINTENANCE_LINES VIC->SA,31,115,4,6,1,2037-09-05 00:00:00,2037-09-11 23:00:00
62,MAINTENANCE_LINES VIC->SA,32,120,4,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
63,HILP_LINES VIC->SNSW,2,8,1,7,1,2027-01-10 00:00:00,2027-01-16 23:00:00
64,HILP_LINES VIC->SNSW,4,16,3,7,1,2027-11-28 00:00:00,2027-12-04 23:00:00
65,HILP_LINES VIC->SNSW,9,34,2,7,1,2032-02-21 00:00:00,2032-02-27 23:00:00
66,HILP_LINES VIC->SNSW,10,38,3,7,1,2032-12-04 00:00:00,2032-12-10 23:00:00
67,HILP_LINES VIC->SNSW,11,42,4,7,1,2032-02-14 00:00:00,2032-02-20 23:00:00
68,HILP_LINES VIC->SNSW,14,54,4,7,1,2032-02-14 00:00:00,2032-02-20 23:00:00
69,HILP_LINES VIC->SNSW,15,58,1,7,1,2037-12-19 00:00:00,2037-12-25 23:00:00
70,HILP_LINES VIC->SNSW,18,68,2,7,1,2037-01-31 00:00:00,2037-02-06 23:00:00
71,HILP_LINES VIC->SNSW,20,75,4,7,1,2037-01-24 00:00:00,2037-01-30 23:00:00
72,HILP_LINES VIC->SNSW,21,79,3,7,1,2037-12-12 00:00:00,2037-12-18 23:00:00
73,HILP_LINES VIC->SNSW,30,112,4,7,1,2037-12-05 00:00:00,2037-12-11 23:00:00
74,HILP_LINES VIC->SNSW,31,116,4,7,1,2037-01-24 00:00:00,2037-01-30 23:00:00
75,HILP_LINES VIC->SA,2,8,1,7,1,2027-01-10 00:00:00,2027-01-16 23:00:00
76,HILP_LINES VIC->SA,4,16,3,7,1,2027-11-28 00:00:00,2027-12-04 23:00:00
77,HILP_LINES VIC->SA,9,34,2,7,1,2032-02-21 00:00:00,2032-02-27 23:00:00
78,HILP_LINES VIC->SA,10,38,3,7,1,2032-12-04 00:00:00,2032-12-10 23:00:00
79,HILP_LINES VIC->SA,11,42,4,7,1,2032-02-14 00:00:00,2032-02-20 23:00:00
80,HILP_LINES VIC->SA,14,54,4,7,1,2032-02-14 00:00:00,2032-02-20 23:00:00
81,HILP_LINES VIC->SA,15,58,1,7,1,2037-12-19 00:00:00,2037-12-25 23:00:00
82,HILP_LINES VIC->SA,18,68,2,7,1,2037-01-31 00:00:00,2037-02-06 23:00:00
83,HILP_LINES VIC->SA,20,75,4,7,1,2037-01-24 00:00:00,2037-01-30 23:00:00
84,HILP_LINES VIC->SA,21,79,3,7,1,2037-12-12 00:00:00,2037-12-18 23:00:00
85,HILP_LINES VIC->SA,30,112,4,7,1,2037-12-05 00:00:00,2037-12-11 23:00:00
86,HILP_LINES VIC->SA,31,116,4,7,1,2037-01-24 00:00:00,2037-01-30 23:00:00
87,HILP_LINES VIC->SA,2,8,1,7,1,2027-01-10 00:00:00,2027-01-16 23:00:00
88,HILP_LINES VIC->SA,4,16,3,7,1,2027-11-28 00:00:00,2027-12-04 23:00:00
89,HILP_LINES VIC->SA,9,34,2,7,1,2032-02-21 00:00:00,2032-02-27 23:00:00
90,HILP_LINES VIC->SA,10,38,3,7,1,2032-12-04 00:00:00,2032-12-10 23:00:00
91,HILP_LINES VIC->SA,11,42,4,7,1,2032-02-14 00:00:00,2032-02-20 23:00:00
92,HILP_LINES VIC->SA,14,54,4,7,1,2032-02-14 00:00:00,2032-02-20 23:00:00
93,HILP_LINES VIC->SA,15,58,1,7,1,2037-12-19 00:00:00,2037-12-25 23:00:00
94,HILP_LINES VIC->SA,18,68,2,7,1,2037-01-31 00:00:00,2037-02-06 23:00:00
95,HILP_LINES VIC->SA,20,75,4,7,1,2037-01-24 00:00:00,2037-01-30 23:00:00
96,HILP_LINES VIC->SA,21,79,3,7,1,2037-12-12 00:00:00,2037-12-18 23:00:00
97,HILP_LINES VIC->SA,30,112,4,7,1,2037-12-05 00:00:00,2037-12-11 23:00:00
98,HILP_LINES VIC->SA,31,116,4,7,1,2037-01-24 00:00:00,2037-01-30 23:00:00
