id,id_ess,scenario,date,value
1,1,1,2025-07-01 00:00:00,2.1326905417814506
2,1,1,2030-07-01 00:00:00,3.1019283746556474
3,1,1,2035-07-01 00:00:00,4.748852157943067
4,1,1,2040-07-01 00:00:00,6.971992653810836
5,1,1,2050-07-01 00:00:00,12.630394857667586
6,1,2,2025-07-01 00:00:00,4.339302112029385
7,1,2,2030-07-01 00:00:00,15.563820018365474
8,1,2,2035-07-01 00:00:00,32.044536271809
9,1,2,2040-07-01 00:00:00,48.798438934802576
10,1,2,2050-07-01 00:00:00,78.62947658402204
11,1,3,2025-07-01 00:00:00,4.207988980716253
12,1,3,2030-07-01 00:00:00,18.62947658402204
13,1,3,2035-07-01 00:00:00,38.81083562901745
14,1,3,2040-07-01 00:00:00,58.439853076216714
15,1,3,2050-07-01 00:00:00,90.58310376492194
16,2,1,2025-07-01 00:00:00,0.9490358126721764
17,2,1,2030-07-01 00:00:00,1.3801652892561982
18,2,1,2035-07-01 00:00:00,2.112947658402204
19,2,1,2040-07-01 00:00:00,3.1019283746556474
20,2,1,2050-07-01 00:00:00,5.619375573921029
21,2,2,2025-07-01 00:00:00,1.930670339761249
22,2,2,2030-07-01 00:00:00,6.924701561065198
23,2,2,2035-07-01 00:00:00,14.25665748393021
24,2,2,2040-07-01 00:00:00,21.710743801652892
25,2,2,2050-07-01 00:00:00,34.98301193755739
26,2,3,2025-07-01 00:00:00,1.8723599632690544
27,2,3,2030-07-01 00:00:00,8.288337924701562
28,2,3,2035-07-01 00:00:00,17.267217630853995
29,2,3,2040-07-01 00:00:00,26.000459136822773
30,2,3,2050-07-01 00:00:00,40.30119375573921
31,3,1,2025-07-01 00:00:00,1.2722681359044996
32,3,1,2030-07-01 00:00:00,1.8503213957759415
33,3,1,2035-07-01 00:00:00,2.832415059687787
34,3,1,2040-07-01 00:00:00,4.15840220385675
35,3,1,2050-07-01 00:00:00,7.533516988062443
36,3,2,2025-07-01 00:00:00,2.588154269972452
37,3,2,2030-07-01 00:00:00,9.282828282828284
38,3,2,2035-07-01 00:00:00,19.112488521579433
39,3,2,2040-07-01 00:00:00,29.10514233241506
40,3,2,2050-07-01 00:00:00,46.89807162534436
41,3,3,2025-07-01 00:00:00,2.509641873278237
42,3,3,2030-07-01 00:00:00,11.111570247933885
43,3,3,2035-07-01 00:00:00,23.148301193755742
44,3,3,2040-07-01 00:00:00,34.85583103764922
45,3,3,2050-07-01 00:00:00,54.027548209366394
46,4,1,2025-07-01 00:00:00,0.9141414141414143
47,4,1,2030-07-01 00:00:00,1.3296602387511478
48,4,1,2035-07-01 00:00:00,2.035812672176309
49,4,1,2040-07-01 00:00:00,2.9889807162534434
50,4,1,2050-07-01 00:00:00,5.414600550964187
51,4,2,2025-07-01 00:00:00,1.8604224058769512
52,4,2,2030-07-01 00:00:00,6.672176308539945
53,4,2,2035-07-01 00:00:00,13.736914600550964
54,4,2,2040-07-01 00:00:00,20.91919191919192
55,4,2,2050-07-01 00:00:00,33.707070707070706
56,4,3,2025-07-01 00:00:00,1.8039485766758494
57,4,3,2030-07-01 00:00:00,7.986225895316804
