id,id_ess,scenario,date,value
1,1,1,2025-07-01 00:00:00,4.691919191919192
2,1,1,2030-07-01 00:00:00,6.824242424242425
3,1,1,2035-07-01 00:00:00,10.447474747474748
4,1,1,2040-07-01 00:00:00,15.338383838383841
5,1,1,2050-07-01 00:00:00,27.78686868686869
6,1,2,2025-07-01 00:00:00,9.546464646464647
7,1,2,2030-07-01 00:00:00,34.240404040404044
8,1,2,2035-07-01 00:00:00,70.49797979797981
9,1,2,2040-07-01 00:00:00,107.35656565656568
10,1,2,2050-07-01 00:00:00,172.9848484848485
11,1,3,2025-07-01 00:00:00,9.257575757575758
12,1,3,2030-07-01 00:00:00,40.98484848484849
13,1,3,2035-07-01 00:00:00,85.3838383838384
14,1,3,2040-07-01 00:00:00,128.56767676767677
15,1,3,2050-07-01 00:00:00,199.2828282828283
16,2,1,2025-07-01 00:00:00,2.0878787878787883
17,2,1,2030-07-01 00:00:00,3.036363636363636
18,2,1,2035-07-01 00:00:00,4.648484848484849
19,2,1,2040-07-01 00:00:00,6.824242424242425
20,2,1,2050-07-01 00:00:00,12.362626262626264
21,2,2,2025-07-01 00:00:00,4.247474747474748
22,2,2,2030-07-01 00:00:00,15.234343434343437
23,2,2,2035-07-01 00:00:00,31.364646464646466
24,2,2,2040-07-01 00:00:00,47.763636363636365
25,2,2,2050-07-01 00:00:00,76.96262626262627
26,2,3,2025-07-01 00:00:00,4.11919191919192
27,2,3,2030-07-01 00:00:00,18.234343434343437
28,2,3,2035-07-01 00:00:00,37.98787878787879
29,2,3,2040-07-01 00:00:00,57.201010101010105
30,2,3,2050-07-01 00:00:00,88.66262626262628
31,3,1,2025-07-01 00:00:00,2.7989898989898996
32,3,1,2030-07-01 00:00:00,4.070707070707072
33,3,1,2035-07-01 00:00:00,6.231313131313131
34,3,1,2040-07-01 00:00:00,9.14848484848485
35,3,1,2050-07-01 00:00:00,16.573737373737377
36,3,2,2025-07-01 00:00:00,5.693939393939394
37,3,2,2030-07-01 00:00:00,20.422222222222224
38,3,2,2035-07-01 00:00:00,42.04747474747476
39,3,2,2040-07-01 00:00:00,64.03131313131314
40,3,2,2050-07-01 00:00:00,103.1757575757576
41,3,3,2025-07-01 00:00:00,5.521212121212122
42,3,3,2030-07-01 00:00:00,24.44545454545455
43,3,3,2035-07-01 00:00:00,50.926262626262634
44,3,3,2040-07-01 00:00:00,76.68282828282828
45,3,3,2050-07-01 00:00:00,118.86060606060607
46,4,1,2025-07-01 00:00:00,2.0111111111111115
47,4,1,2030-07-01 00:00:00,2.9252525252525254
48,4,1,2035-07-01 00:00:00,4.478787878787879
49,4,1,2040-07-01 00:00:00,6.575757575757576
50,4,1,2050-07-01 00:00:00,11.912121212121212
51,4,2,2025-07-01 00:00:00,4.092929292929293
52,4,2,2030-07-01 00:00:00,14.67878787878788
53,4,2,2035-07-01 00:00:00,30.221212121212123
54,4,2,2040-07-01 00:00:00,46.022222222222226
55,4,2,2050-07-01 00:00:00,74.15555555555557
56,4,3,2025-07-01 00:00:00,3.968686868686869
57,4,3,2030-07-01 00:00:00,17.56969696969697
58,4,3,2035-07-01 00:00:00,36.603030303030316
59,4,3,2040-07-01 00:00:00,55.11515151515152
60,4,3,2050-07-01 00:00:00,85.42929292929294
