id,gen_id,scenario,date,value
152,7,3,2028-07-01 00:00:00,3
153,58,3,2040-07-01 00:00:00,1
154,89,3,2044-07-01 00:00:00,0
155,5,3,2029-07-01 00:00:00,4
156,5,3,2030-07-01 00:00:00,0
157,55,3,2036-07-01 00:00:00,5
158,70,3,2035-07-01 00:00:00,0
159,88,3,2046-07-01 00:00:00,0
160,67,3,2039-07-01 00:00:00,5
161,6,3,2028-07-01 00:00:00,2
162,12,3,2027-07-01 00:00:00,0
163,65,3,2030-07-01 00:00:00,8
164,60,3,2046-07-01 00:00:00,6
165,12,3,2027-07-01 00:00:00,0
166,60,3,2049-07-01 00:00:00,2
167,4,3,2025-07-01 00:00:00,2
168,64,3,2045-07-01 00:00:00,0
169,57,3,2045-07-01 00:00:00,3
170,18,3,2033-07-01 00:00:00,1
171,18,3,2044-07-01 00:00:00,0
172,7,3,2031-07-01 00:00:00,0
173,1,3,2028-07-01 00:00:00,5
174,1,3,2029-07-01 00:00:00,2
175,55,3,2042-07-01 00:00:00,4
176,67,3,2033-07-01 00:00:00,13
177,16,3,2027-07-01 00:00:00,1
178,87,3,2026-07-01 00:00:00,0
179,76,3,2037-07-01 00:00:00,0
180,60,3,2050-07-01 00:00:00,0
181,62,3,2044-07-01 00:00:00,8
182,63,3,2039-07-01 00:00:00,0
183,83,3,2043-07-01 00:00:00,0
184,55,3,2047-07-01 00:00:00,2
185,57,3,2044-07-01 00:00:00,5
186,7,3,2027-07-01 00:00:00,6
187,60,3,2034-07-01 00:00:00,10
188,65,3,2030-07-01 00:00:00,9
189,2,3,2027-07-01 00:00:00,6
190,85,3,2027-07-01 00:00:00,0
191,21,3,2046-07-01 00:00:00,0
192,64,3,2036-07-01 00:00:00,3
193,2,3,2028-07-01 00:00:00,5
194,2,3,2029-07-01 00:00:00,3
195,2,3,2030-07-01 00:00:00,0
196,76,3,2026-07-01 00:00:00,4
197,22,3,2027-07-01 00:00:00,0
198,67,3,2039-07-01 00:00:00,5
199,6,3,2030-07-01 00:00:00,1
200,6,3,2033-07-01 00:00:00,0
201,65,3,2032-07-01 00:00:00,0
