id,inv_group_id,lin_id,group_order
1,1,24,1
2,1,18,2
3,2,19,1
4,2,24,2
5,3,24,1
6,3,29,2
7,4,30,1
8,4,29,2
9,5,35,1
10,5,41,2
11,6,35,1
12,6,44,2
13,7,35,1
14,7,45,2
15,8,46,1
16,8,47,2
17,9,46,1
18,9,48,2
19,10,50,1
20,10,48,2
21,11,36,1
22,11,48,2
23,12,46,1
24,12,49,2
25,13,50,1
26,13,49,2
27,14,36,1
28,14,49,2
29,15,51,1
30,15,52,2
31,16,39,1
32,16,35,1
33,17,39,1
34,17,36,1
35,18,39,1
36,18,40,1
37,19,40,1
38,19,35,1
