id,ess_id,scenario,date,value
122,2,2,2037-07-01 00:00:00,2000.0002386
123,2,2,2038-07-01 00:00:00,2000.0002550799998
124,2,2,2039-07-01 00:00:00,2000.0002693200001
125,2,2,2040-07-01 00:00:00,2000.0002862800002
126,2,2,2041-07-01 00:00:00,2000.0002862800002
127,2,2,2042-07-01 00:00:00,2000.0003029200002
128,2,2,2043-07-01 00:00:00,2000.0003120400002
129,2,2,2044-07-01 00:00:00,2000.00034908
130,2,2,2045-07-01 00:00:00,2000.00037556
131,2,2,2046-07-01 00:00:00,2000.00037556
132,2,2,2047-07-01 00:00:00,2000.0003142399999
133,2,2,2048-07-01 00:00:00,2000.0003257199999
134,2,2,2049-07-01 00:00:00,2000.0003781200003
135,2,2,2050-07-01 00:00:00,2000.0003781200003
136,2,3,2024-07-01 00:00:00,2000
137,2,3,2025-07-01 00:00:00,2000
138,2,3,2026-07-01 00:00:00,2000
139,2,3,2027-07-01 00:00:00,2000.0004208000003
140,2,3,2028-07-01 00:00:00,2000.0035931200002
141,2,3,2029-07-01 00:00:00,2000.0035931200002
142,2,3,2030-07-01 00:00:00,6100.2112404
143,2,3,2031-07-01 00:00:00,6100.21126568
144,2,3,2032-07-01 00:00:00,6100.21126568
145,2,3,2033-07-01 00:00:00,6100.21126568
146,2,3,2034-07-01 00:00:00,6100.21126568
147,2,3,2035-07-01 00:00:00,6100.211288
148,2,3,2036-07-01 00:00:00,6100.21136216
149,2,3,2037-07-01 00:00:00,6100.21136216
150,2,3,2038-07-01 00:00:00,6100.21136216
151,2,3,2039-07-01 00:00:00,6100.21136216
152,2,3,2040-07-01 00:00:00,6100.21136216
153,2,3,2041-07-01 00:00:00,6100.21136216
154,2,3,2042-07-01 00:00:00,6100.21136216
155,2,3,2043-07-01 00:00:00,7234.22252064
156,2,3,2044-07-01 00:00:00,9651.20274272
157,2,3,2045-07-01 00:00:00,24710.13564136
158,2,3,2046-07-01 00:00:00,24710.13564136
159,2,3,2047-07-01 00:00:00,24710.13522056
160,2,3,2048-07-01 00:00:00,32955.790571519996
161,2,3,2049-07-01 00:00:00,71451.10579592
162,2,3,2050-07-01 00:00:00,68465.04293944
163,3,1,2024-07-01 00:00:00,100
164,3,1,2025-07-01 00:00:00,100
165,3,1,2026-07-01 00:00:00,100
166,3,1,2027-07-01 00:00:00,400
167,3,1,2028-07-01 00:00:00,400
168,3,1,2029-07-01 00:00:00,400
169,3,1,2030-07-01 00:00:00,400
170,3,1,2031-07-01 00:00:00,400
171,3,1,2032-07-01 00:00:00,400
172,3,1,2033-07-01 00:00:00,400
173,3,1,2034-07-01 00:00:00,400
174,3,1,2035-07-01 00:00:00,400
175,3,1,2036-07-01 00:00:00,400
176,3,1,2037-07-01 00:00:00,400
177,3,1,2038-07-01 00:00:00,400
178,3,1,2039-07-01 00:00:00,400
179,3,1,2040-07-01 00:00:00,400
180,3,1,2041-07-01 00:00:00,400
181,3,1,2042-07-01 00:00:00,300
182,3,1,2043-07-01 00:00:00,300
