id,name,alias,fuel,tech,type,capacity,forate,bus_id,pmin,pmax,rup,rdw,investment,active,cvar,cfuel,cvom,cfom,co2,slope,hrate,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency
62,OCGT_SNW_1,OCGT_SNW_1,Natural Gas,OCGT,OCGT,219.89,0.91,7,72.56,219.89,3,3,0,1,211.89,17.27,10.98,0.02,628.3,0.6,11.64,21.99,0,4,0,1,1,0,0.85,0,0,9,1
63,Condamine A,CPSA,Natural Gas,CCGT,CCGT,48.13333333333333,0.93552486,4,20,48.13333333333333,1,1,0,1,123.43193475857105,15.73080743257225,8.794471687194328,0.01253,448.7800299499554,0.4,7.28744939271255,4.8133333333333335,0,4,0,1,1,0,0.85,0,0,3,1
64,CCGT_SQ_1,CCGT_SQ_1,Natural Gas,CCGT,CCGT,205.9,0.94,4,65.64,205.9,5,5,0,1,124.94,15.72,8.79,0.01,415.33,0.4,7.39,20.590000000000003,0,4,0,1,1,0,0.85,0,0,5,1
65,OCGT_CSA_2,OCGT_CSA_2,Natural Gas,OCGT,OCGT,32.68,0.9,11,10.78,32.68,3,3,0,1,254.6,16.68,12.57,0.02,692.62,0.6,14.52,3.27,0,4,0,1,1,0,0.85,-34.847463,138.581758,16,1
67,OCGT_VIC_2,OCGT_VIC_2,Natural Gas,OCGT,OCGT,56.88,0.9,9,18.77,56.88,3,3,0,1,259.76,16.44,12.57,0.02,771.14,0.6,15.04,5.69,0,4,0,1,1,0,0.85,0,0,16,1
70,Ladbroke Grove,LADBROK1,Natural Gas,OCGT,OCGT,40,0.9020784,12,13.2,40,9999,9999,0,1,209.7995548522769,16.600555198089953,12.565235667049695,0.01808,516.2363713597961,0.6,11.881188118811883,4,0,4,0,1,1,0,0.85,0,0,2,1
76,CCGT_CSA_1,CCGT_CSA_1,Natural Gas,CCGT,CCGT,141.8,0.94,11,72,141.8,2.87,2.87,0,1,129.22,15.69,8.79,0.01,406.02,0.4,7.67,14.180000000000001,0,4,0,1,1,0,0.85,0,0,5,1
83,Tallawarra,TALWA1,Natural Gas,CCGT,CCGT,220,0.93552486,7,190,220,8,8,0,1,120.17177260732029,15.933141659406909,8.794471687194328,0.01253,370.9712367628364,0.4,6.990291262135922,22,0,4,0,1,1,0,0.85,-34.5228,150.8081,2,1
85,Tamar Valley Combined Cycle,TVCC201,Natural Gas,CCGT,CCGT,208,0.93552486,10,70.8,208,6,6,0,1,123.5000541926381,15.740154932691452,8.794471687194328,0.12593000000000001,618.7694024904949,0.4,7.28744939271255,20.8,0,4,0,1,1,0,0.85,-41.140125,146.903636,1,1
87,Torrens Island B,TORRB1,Natural Gas,OCGT,Gas-powered steam turbine,200,0.91781888,11,40,200,5,5,0,1,183.88065862389587,16.902844894349037,2.7787490415847804,0.056240000000000005,593.041085228738,0.6,10.714285714285714,20,0,4,0,1,1,0,0.85,0,0,4,1
88,Townsville Power Station,YABULU,Natural Gas,CCGT,CCGT,122,0.93552486,1,83,122,5.7,5.7,0,1,128.2663903986004,15.7304692970018,8.794471687194328,0.01253,571.8091915765218,0.4,7.59493670886076,12.200000000000001,0,4,0,1,1,0,0.85,0,0,2,1
89,Uranquinty,URANQ11,Natural Gas,OCGT,OCGT,173,0.91781888,8,57.09,173,9999,9999,0,1,198.67403894174657,16.69809540492419,12.565235667049695,0.01808,564.2196299275946,0.6,11.145510835913313,17.3,0,4,0,1,1,0,0.85,0,0,4,1
91,Yarwun Cogen,YARWUN_1,Natural Gas,CCGT,CCGT,180,0.93552486,3,106,180,10,10,0,1,172.6754193691214,15.796302457119086,8.794471687194328,0.01253,0,0.4,10.374639769452449,18,0,4,0,1,1,0,0.85,0,0,1,1
92,RTPV_NQ,RTPV_NQ,Solar,RoofPV,RoofPV,100,1,1,0,100,9999.9,9999.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-17.79385,145.5635,1,0
93,RTPV_CQ,RTPV_CQ,Solar,RoofPV,RoofPV,100,1,2,0,100,9999.9,9999.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-22.8242,149.40361,1,0
94,RTPV_GG,RTPV_GG,Solar,RoofPV,RoofPV,100,1,3,0,100,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-23.842948,151.248803,1,0
