id,h2dem_id,scenario,date,value
1,1,1,2024-07-01 00:00:00,0
2,1,1,2025-07-01 00:00:00,0
3,1,1,2026-07-01 00:00:00,0
4,1,1,2027-07-01 00:00:00,0
5,1,1,2028-07-01 00:00:00,0
6,1,1,2029-07-01 00:00:00,0
7,1,1,2030-07-01 00:00:00,0
8,1,1,2031-07-01 00:00:00,0
9,1,1,2032-07-01 00:00:00,0
10,1,1,2033-07-01 00:00:00,0
11,1,1,2034-07-01 00:00:00,0
12,1,1,2035-07-01 00:00:00,0
13,1,1,2036-07-01 00:00:00,0
14,1,1,2037-07-01 00:00:00,0
15,1,1,2038-07-01 00:00:00,0
16,1,1,2039-07-01 00:00:00,0
17,1,1,2040-07-01 00:00:00,0
18,1,1,2041-07-01 00:00:00,0
19,1,1,2042-07-01 00:00:00,0
20,1,1,2043-07-01 00:00:00,0
21,1,1,2044-07-01 00:00:00,0
22,1,1,2045-07-01 00:00:00,0
23,1,1,2046-07-01 00:00:00,0
24,1,1,2047-07-01 00:00:00,0
25,1,1,2048-07-01 00:00:00,0
26,1,1,2049-07-01 00:00:00,0
27,1,2,2024-07-01 00:00:00,0
28,1,2,2025-07-01 00:00:00,0
29,1,2,2026-07-01 00:00:00,0
30,1,2,2027-07-01 00:00:00,5600.239756384803
31,1,2,2028-07-01 00:00:00,22400.959025539218
32,1,2,2029-07-01 00:00:00,58802.51492193229
33,1,2,2030-07-01 00:00:00,89603.8439424933
34,1,2,2031-07-01 00:00:00,111994.61529086092
35,1,2,2032-07-01 00:00:00,125972.63311280709
36,1,2,2033-07-01 00:00:00,139996.76471357865
37,1,2,2034-07-01 00:00:00,139996.76471357865
38,1,2,2035-07-01 00:00:00,154006.60170094256
39,1,2,2036-07-01 00:00:00,168007.14648956148
40,1,2,2037-07-01 00:00:00,181989.79291012918
41,1,2,2038-07-01 00:00:00,182007.7990828065
42,1,2,2039-07-01 00:00:00,200908.6185510468
43,1,2,2040-07-01 00:00:00,210009.00066485067
44,1,2,2041-07-01 00:00:00,210009.00066485067
