id,gen_id,scenario,date,value
1,1,1,2022-07-01 00:00:00,2.0055079064552537
2,1,1,2023-07-01 00:00:00,2.039097189273568
3,1,1,2024-07-01 00:00:00,1.9893157650956823
4,1,1,2025-07-01 00:00:00,1.947636825981997
5,1,1,2026-07-01 00:00:00,3.8460108525515415
6,1,1,2027-07-01 00:00:00,3.825631103973741
7,1,1,2028-07-01 00:00:00,3.809809505927561
8,1,1,2029-07-01 00:00:00,3.804692246168973
9,1,1,2030-07-01 00:00:00,3.7802985493478043
10,1,1,2031-07-01 00:00:00,3.754356738723411
11,1,1,2032-07-01 00:00:00,3.727167126494283
12,1,1,2033-07-01 00:00:00,3.699321005481786
13,1,1,2034-07-01 00:00:00,3.6711079737766954
14,1,1,2035-07-01 00:00:00,3.6418927310454823
15,1,1,2036-07-01 00:00:00,3.6120438182932624
16,1,1,2037-07-01 00:00:00,3.5809458332725557
17,1,1,2038-07-01 00:00:00,3.548873594834224
18,1,1,2039-07-01 00:00:00,3.5672299894246113
19,1,1,2040-07-01 00:00:00,3.5579726916229304
20,1,1,2041-07-01 00:00:00,3.520992139913816
21,1,1,2042-07-01 00:00:00,3.4833361096565763
22,1,1,2043-07-01 00:00:00,3.4451040769732186
23,1,1,2044-07-01 00:00:00,3.4357530656869626
24,1,1,2045-07-01 00:00:00,3.4357530656869626
25,1,1,2046-07-01 00:00:00,3.4357530656869626
26,1,1,2047-07-01 00:00:00,3.4357530656869626
27,1,1,2048-07-01 00:00:00,3.4357530656869626
28,1,1,2049-07-01 00:00:00,3.4357530656869626
29,1,1,2050-07-01 00:00:00,3.4357530656869626
30,1,1,2051-07-01 00:00:00,3.4357530656869626
31,1,1,2052-07-01 00:00:00,3.4357530656869626
32,1,1,2053-07-01 00:00:00,3.4357530656869626
33,1,2,2022-07-01 00:00:00,1.9823558922806415
34,1,2,2023-07-01 00:00:00,2.006185443964832
35,1,2,2024-07-01 00:00:00,1.956083562475672
36,1,2,2025-07-01 00:00:00,1.914484288447552
37,1,2,2026-07-01 00:00:00,3.6295170989031313
38,1,2,2027-07-01 00:00:00,3.6097476830791346
39,1,2,2028-07-01 00:00:00,3.590582357052928
40,1,2,2029-07-01 00:00:00,3.585843542932878
41,1,2,2030-07-01 00:00:00,3.5120690168094835
42,1,2,2031-07-01 00:00:00,3.3268853155230054
43,1,2,2032-07-01 00:00:00,3.1308940996873376
44,1,2,2033-07-01 00:00:00,2.9600706544193667
