id,lin_id,scenario,date,value
1,17,2,2022-07-01 00:00:00,1128507.7716756607
2,17,2,2023-07-01 00:00:00,1145341.201388012
3,17,2,2024-07-01 00:00:00,1162381.3803837753
4,17,2,2025-07-01 00:00:00,1175920.8235220704
5,17,2,2026-07-01 00:00:00,1183651.3885591277
6,17,2,2027-07-01 00:00:00,1192653.1829662847
7,17,2,2028-07-01 00:00:00,1200604.394317848
8,17,2,2029-07-01 00:00:00,1207720.5464174575
9,17,2,2030-07-01 00:00:00,1211933.9986330515
10,17,2,2031-07-01 00:00:00,1213719.2540604102
11,17,2,2032-07-01 00:00:00,1215537.2664680872
12,17,2,2033-07-01 00:00:00,1217388.0358560826
13,17,2,2034-07-01 00:00:00,1219271.5622243967
14,17,2,2035-07-01 00:00:00,1221179.6563279496
15,17,2,2036-07-01 00:00:00,1223128.6966569007
16,17,2,2037-07-01 00:00:00,1225110.4939661701
17,17,2,2038-07-01 00:00:00,1227125.0482557584
18,17,2,2039-07-01 00:00:00,1229172.359525665
19,17,2,2040-07-01 00:00:00,1231195.1030603324
20,17,2,2041-07-01 00:00:00,1233226.03584008
21,17,2,2042-07-01 00:00:00,1235256.9686198274
22,17,2,2043-07-01 00:00:00,1237279.7121544948
23,17,2,2044-07-01 00:00:00,1239310.6449342421
24,17,2,2045-07-01 00:00:00,1241341.5777139897
25,17,2,2046-07-01 00:00:00,1243372.5104937367
26,17,2,2047-07-01 00:00:00,1245403.443273484
27,17,2,2048-07-01 00:00:00,1247434.3760532313
28,17,2,2049-07-01 00:00:00,1249465.308832979
29,17,2,2050-07-01 00:00:00,1251496.2416127261
30,17,2,2051-07-01 00:00:00,1253527.1743924734
31,17,2,2052-07-01 00:00:00,1255558.107172221
32,17,2,2053-07-01 00:00:00,1257589.039951968
33,17,3,2022-07-01 00:00:00,1128507.7716756607
34,17,3,2023-07-01 00:00:00,1145341.201388012
35,17,3,2024-07-01 00:00:00,1162381.3803837753
36,17,3,2025-07-01 00:00:00,1175920.8235220704
37,17,3,2026-07-01 00:00:00,1183651.3885591277
38,17,3,2027-07-01 00:00:00,1192653.1829662847
39,17,3,2028-07-01 00:00:00,1200604.394317848
40,17,3,2029-07-01 00:00:00,1207720.5464174575
41,17,3,2030-07-01 00:00:00,1211933.9986330515
42,17,3,2031-07-01 00:00:00,1213719.2540604102
43,17,3,2032-07-01 00:00:00,1215537.2664680872
44,17,3,2033-07-01 00:00:00,1217388.0358560826
45,17,3,2034-07-01 00:00:00,1219271.5622243967
46,17,3,2035-07-01 00:00:00,1221179.6563279496
47,17,3,2036-07-01 00:00:00,1223128.6966569007
48,17,3,2037-07-01 00:00:00,1225110.4939661701
49,17,3,2038-07-01 00:00:00,1227125.0482557584
50,17,3,2039-07-01 00:00:00,1229172.359525665
51,17,3,2040-07-01 00:00:00,1231195.1030603324
52,17,3,2041-07-01 00:00:00,1233226.03584008
53,17,3,2042-07-01 00:00:00,1235256.9686198274
54,17,3,2043-07-01 00:00:00,1237279.7121544948
55,17,3,2044-07-01 00:00:00,1239310.6449342421
56,17,3,2045-07-01 00:00:00,1241341.5777139897
57,17,3,2046-07-01 00:00:00,1243372.5104937367
58,17,3,2047-07-01 00:00:00,1245403.443273484
