id,electrolyser_id,scenario,date,value
1,1,1,2024-07-01 00:00:00,2513924.3
2,1,1,2025-07-01 00:00:00,2273331.8
3,1,1,2026-07-01 00:00:00,2056263.9
4,1,1,2027-07-01 00:00:00,1859512.6999999997
5,1,1,2028-07-01 00:00:00,1682008.9
6,1,1,2029-07-01 00:00:00,1521613.9
7,1,1,2030-07-01 00:00:00,1376189.0999999999
8,1,1,2031-07-01 00:00:00,1244665.2
9,1,1,2032-07-01 00:00:00,1124903.5999999999
10,1,1,2033-07-01 00:00:00,1017973.6
11,1,1,2034-07-01 00:00:00,920667.2999999999
12,1,1,2035-07-01 00:00:00,831915.4
13,1,1,2036-07-01 00:00:00,752787.2
14,1,1,2037-07-01 00:00:00,681144.1
15,1,1,2038-07-01 00:00:00,615916.7999999999
16,1,1,2039-07-01 00:00:00,557105.2999999999
17,1,1,2040-07-01 00:00:00,503640.3
18,1,1,2041-07-01 00:00:00,491878
19,1,1,2042-07-01 00:00:00,480115.69999999995
20,1,1,2043-07-01 00:00:00,452313.89999999997
21,1,1,2044-07-01 00:00:00,438412.99999999994
22,1,1,2045-07-01 00:00:00,425581.39999999997
23,1,1,2046-07-01 00:00:00,405264.69999999995
24,1,1,2047-07-01 00:00:00,383878.69999999995
25,1,1,2048-07-01 00:00:00,367839.19999999995
26,1,1,2049-07-01 00:00:00,350730.39999999997
27,1,2,2024-07-01 00:00:00,2513924.3
28,1,2,2025-07-01 00:00:00,2259430.9
29,1,2,2026-07-01 00:00:00,2030600.6999999997
30,1,2,2027-07-01 00:00:00,1825295.0999999999
31,1,2,2028-07-01 00:00:00,1640306.1999999997
32,1,2,2029-07-01 00:00:00,1474564.7
33,1,2,2030-07-01 00:00:00,1324862.7
34,1,2,2031-07-01 00:00:00,1191200.2
35,1,2,2032-07-01 00:00:00,1070369.2999999998
36,1,2,2033-07-01 00:00:00,962369.9999999999
37,1,2,2034-07-01 00:00:00,865063.7
38,1,2,2035-07-01 00:00:00,777381.1
39,1,2,2036-07-01 00:00:00,698252.8999999999
40,1,2,2037-07-01 00:00:00,627679.1
41,1,2,2038-07-01 00:00:00,564590.3999999999
42,1,2,2039-07-01 00:00:00,506848.19999999995
43,1,2,2040-07-01 00:00:00,455521.8
44,1,2,2041-07-01 00:00:00,434135.8
45,1,2,2042-07-01 00:00:00,417027
46,1,2,2043-07-01 00:00:00,398848.89999999997
47,1,2,2044-07-01 00:00:00,382809.39999999997
48,1,2,2045-07-01 00:00:00,368908.49999999994
49,1,2,2046-07-01 00:00:00,357146.19999999995
50,1,2,2047-07-01 00:00:00,345383.89999999997
51,1,2,2048-07-01 00:00:00,334690.9
52,1,2,2049-07-01 00:00:00,317582.1
53,1,3,2024-07-01 00:00:00,2513924.3
54,1,3,2025-07-01 00:00:00,2199550.1
55,1,3,2026-07-01 00:00:00,1923670.7
56,1,3,2027-07-01 00:00:00,1683078.2
57,1,3,2028-07-01 00:00:00,1472426.0999999999
58,1,3,2029-07-01 00:00:00,1288506.5
59,1,3,2030-07-01 00:00:00,1127042.2
60,1,3,2031-07-01 00:00:00,985894.6
61,1,3,2032-07-01 00:00:00,862925.1
62,1,3,2033-07-01 00:00:00,754925.7999999999
63,1,3,2034-07-01 00:00:00,660827.3999999999
64,1,3,2035-07-01 00:00:00,577421.9999999999
65,1,3,2036-07-01 00:00:00,505778.89999999997
66,1,3,2037-07-01 00:00:00,442690.19999999995
67,1,3,2038-07-01 00:00:00,387086.6
68,1,3,2039-07-01 00:00:00,337898.8
69,1,3,2040-07-01 00:00:00,296196.1
70,1,3,2041-07-01 00:00:00,272671.5
71,1,3,2042-07-01 00:00:00,253424.09999999998
72,1,3,2043-07-01 00:00:00,239523.19999999998
73,1,3,2044-07-01 00:00:00,226691.6
74,1,3,2045-07-01 00:00:00,215998.59999999998
75,1,3,2046-07-01 00:00:00,207444.19999999998
76,1,3,2047-07-01 00:00:00,196751.19999999998
77,1,3,2048-07-01 00:00:00,188196.8
78,1,3,2049-07-01 00:00:00,179642.4
79,2,1,2024-07-01 00:00:00,2513924.3
80,2,1,2025-07-01 00:00:00,2273331.8
81,2,1,2026-07-01 00:00:00,2056263.9
82,2,1,2027-07-01 00:00:00,1859512.6999999997
83,2,1,2028-07-01 00:00:00,1682008.9
84,2,1,2029-07-01 00:00:00,1521613.9
85,2,1,2030-07-01 00:00:00,1376189.0999999999
86,2,1,2031-07-01 00:00:00,1244665.2
87,2,1,2032-07-01 00:00:00,1124903.5999999999
88,2,1,2033-07-01 00:00:00,1017973.6
89,2,1,2034-07-01 00:00:00,920667.2999999999
90,2,1,2035-07-01 00:00:00,831915.4
91,2,1,2036-07-01 00:00:00,752787.2
92,2,1,2037-07-01 00:00:00,681144.1
93,2,1,2038-07-01 00:00:00,615916.7999999999
94,2,1,2039-07-01 00:00:00,557105.2999999999
95,2,1,2040-07-01 00:00:00,503640.3
96,2,1,2041-07-01 00:00:00,491878
97,2,1,2042-07-01 00:00:00,480115.69999999995
98,2,1,2043-07-01 00:00:00,452313.89999999997
99,2,1,2044-07-01 00:00:00,438412.99999999994
100,2,1,2045-07-01 00:00:00,425581.39999999997
101,2,1,2046-07-01 00:00:00,405264.69999999995
102,2,1,2047-07-01 00:00:00,383878.69999999995
103,2,1,2048-07-01 00:00:00,367839.19999999995
104,2,1,2049-07-01 00:00:00,350730.39999999997
105,2,2,2024-07-01 00:00:00,2513924.3
106,2,2,2025-07-01 00:00:00,2259430.9
107,2,2,2026-07-01 00:00:00,2030600.6999999997
108,2,2,2027-07-01 00:00:00,1825295.0999999999
109,2,2,2028-07-01 00:00:00,1640306.1999999997
