id,name,alias,fuel,tech,type,capacity,forate,bus_id,pmin,pmax,rup,rdw,investment,active,cvar,cfuel,cvom,cfom,co2,slope,hrate,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency
22,Snuggery,SNUG1,Diesel,Diesel,Reciprocating Engine,21,0.9020784,12,4.2,21,9999,9999,0,1,488.51124945421964,35.43153658193376,12.565235667049695,0.01808,1106.8763326226012,0.6,13.432835820895521,2.1,0,4,0,1,1,0,0.85,-37.66455,140.415558,3,1
23,Barron Gorge,BARRON-1,Hydro,Run-of-River,Vertical Francis,35,0.93439578,1,7,35,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,3.5,0,2.5,0,1,1,0,0.85,-16.85086,145.6469,2,1
24,Bastyan,BASTYAN,Hydro,Reservoir,Francis,79.9,0.93439578,10,15.98,79.9,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,7.990000000000001,0,2.5,0,1,1,0,0.85,-41.736,145.5321,1,1
25,Blowering,BLOWERNG,Hydro,Reservoir,Francis,80,0.93439578,8,16,80,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,8,0,2.5,0,1,1,0,0.85,-35.3986,148.246272,1,1
26,Bogong / MacKay,MCKAY1,Hydro,Run-of-River,Francis / Pelton,25.001666666666665,0.93439578,9,5,25.001666666666665,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,2.500166666666667,0,2.5,0,1,1,0,0.85,-36.8067,147.2287,12,1
27,Catagunya / Liapootah / Wayatinah,LI_WY_CA,Hydro,Reservoir,Francis,22.0875,0.93439578,10,4.42,22.0875,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,2.2087499999999998,0,2.5,0,1,1,0,0.85,-42.4522,146.5977,8,1
28,Cethana,CETHANA,Hydro,Reservoir,Francis,85,0.93439578,10,17,85,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,8.5,0,2.5,0,1,1,0,0.85,-41.481,146.1338,1,1
29,Dartmouth,DARTM1,Hydro,Reservoir,Francis,23.125,0.93439578,9,4.62,23.125,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,2.3125,0,2.5,0,1,1,0,0.85,-36.558,147.5236,8,1
30,Devils gate,DEVILS_G,Hydro,Reservoir,Francis,60,0.93439578,10,12,60,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,6,0,2.5,0,1,1,0,0.85,-41.3505,146.2633,1,1
31,Eildon,EILDON1,Hydro,Reservoir,Francis,67.5,0.93439578,9,13.5,67.5,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,6.75,0,2.5,0,1,1,0,0.85,-37.22186,145.92137,2,1
32,Fisher,FISHER,Hydro,Reservoir,Pelton,43.2,0.93439578,10,8.64,43.2,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,4.32,0,2.5,0,1,1,0,0.85,-41.6732,146.2686,1,1
33,Gordon,GORDON,Hydro,Reservoir,Francis,144,0.93439578,10,28.8,144,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,14.4,0,2.5,0,1,1,0,0.85,-42.7405,145.9819,3,1
34,Guthega,GUTHEGA,Hydro,Reservoir,Francis,30,0.93439578,8,6,30,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,3,0,2.5,0,1,1,0,0.85,-36.35,148.41353,2,1
