1,DSP_SQ_B1,DSP,1,1,1,0.8062,0,0,0,0,0,0,0,0,1,0.8062,300,0,0,0
2,DSP_SQ_B2,DSP,1,1,1,1.1763,0,0,0,0,0,0,0,0,1,1.1763,500,0,0,0
3,DSP_SQ_B3,DSP,1,1,1,3.5773,0,0,0,0,0,0,0,0,1,3.5773,1000,0,0,0
4,DSP_SQ_B4,DSP,1,1,1,1.3641,0,0,0,0,0,0,0,0,1,1.3641,7500,0,0,0
5,DSP_SQ_B1,DSP,2,1,1,0.3587,0,0,0,0,0,0,0,0,1,0.3587,300,0,0,0
6,DSP_SQ_B2,DSP,2,1,1,0.5233,0,0,0,0,0,0,0,0,1,0.5233,500,0,0,0
7,DSP_SQ_B3,DSP,2,1,1,1.5916,0,0,0,0,0,0,0,0,1,1.5916,1000,0,0,0
8,DSP_SQ_B4,DSP,2,1,1,0.6069,0,0,0,0,0,0,0,0,1,0.6069,7500,0,0,0
9,DSP_SQ_B1,DSP,3,1,1,0.4808,0,0,0,0,0,0,0,0,1,0.4808,300,0,0,0
10,DSP_SQ_B2,DSP,3,1,1,0.7016,0,0,0,0,0,0,0,0,1,0.7016,500,0,0,0
11,DSP_SQ_B3,DSP,3,1,1,2.1336,0,0,0,0,0,0,0,0,1,2.1336,1000,0,0,0
12,DSP_SQ_B4,DSP,3,1,1,0.8136,0,0,0,0,0,0,0,0,1,0.8136,7500,0,0,0
13,DSP_SQ_B1,DSP,4,1,1,0.3456,0,0,0,0,0,0,0,0,1,0.3456,300,0,0,0
14,DSP_SQ_B2,DSP,4,1,1,0.5043,0,0,0,0,0,0,0,0,1,0.5043,500,0,0,0
15,DSP_SQ_B3,DSP,4,1,1,1.5335,0,0,0,0,0,0,0,0,1,1.5335,1000,0,0,0
16,DSP_SQ_B4,DSP,4,1,1,0.5848,0,0,0,0,0,0,0,0,1,0.5848,7500,0,0,0
17,DSP_SQ_B1,DSP,5,1,1,0.7849,0,0,0,0,0,0,0,0,1,0.7849,300,0,0,0
18,DSP_SQ_B2,DSP,5,1,1,1.1452,0,0,0,0,0,0,0,0,1,1.1452,500,0,0,0
19,DSP_SQ_B3,DSP,5,1,1,3.4827,0,0,0,0,0,0,0,0,1,3.4827,1000,0,0,0
20,DSP_SQ_B4,DSP,5,1,1,1.3281,0,0,0,0,0,0,0,0,1,1.3281,7500,0,0,0
21,DSP_SQ_B1,DSP,6,1,1,1.1588,0,0,0,0,0,0,0,0,1,1.1588,300,0,0,0
22,DSP_SQ_B2,DSP,6,1,1,1.6909,0,0,0,0,0,0,0,0,1,1.6909,500,0,0,0
23,DSP_SQ_B3,DSP,6,1,1,5.1421,0,0,0,0,0,0,0,0,1,5.1421,1000,0,0,0
24,DSP_SQ_B4,DSP,6,1,1,1.9609,0,0,0,0,0,0,0,0,1,1.9609,7500,0,0,0
25,DSP_SQ_B1,DSP,7,1,1,0.7741,0,0,0,0,0,0,0,0,1,0.7741,300,0,0,0
26,DSP_SQ_B2,DSP,7,1,1,1.1295,0,0,0,0,0,0,0,0,1,1.1295,500,0,0,0
27,DSP_SQ_B3,DSP,7,1,1,3.435,0,0,0,0,0,0,0,0,1,3.435,1000,0,0,0
28,DSP_SQ_B4,DSP,7,1,1,1.3099,0,0,0,0,0,0,0,0,1,1.3099,7500,0,0,0
29,DSP_SQ_B1,DSP,8,1,1,0.2631,0,0,0,0,0,0,0,0,1,0.2631,300,0,0,0
30,DSP_SQ_B2,DSP,8,1,1,0.3839,0,0,0,0,0,0,0,0,1,0.3839,500,0,0,0
31,DSP_SQ_B3,DSP,8,1,1,1.1675,0,0,0,0,0,0,0,0,1,1.1675,1000,0,0,0
32,DSP_SQ_B4,DSP,8,1,1,0.4452,0,0,0,0,0,0,0,0,1,0.4452,7500,0,0,0
