1,RPV CRE,RoofPV,CER,0,1,2,111.699,1,0,111.699,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
2,RPV LYD,RoofPV,CER,0,1,3,49.696,1,0,49.696,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
3,RPV BWN,RoofPV,CER,0,1,4,66.622,1,0,66.622,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
4,RPV NRN,RoofPV,CER,0,1,5,47.883,1,0,47.883,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
5,RPV OFR,RoofPV,CER,0,1,6,108.746,1,0,108.746,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
6,RPV CLN,RoofPV,CER,0,1,7,160.562,1,0,160.562,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
7,RPV PHM,RoofPV,CER,0,1,8,107.255,1,0,107.255,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
8,RPV LLG,RoofPV,CER,0,1,10,36.453,1,0,36.453,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
9,SVC 2,SVC,SVC,1,1,2,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
10,SVC 3,SVC,SVC,1,1,3,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
11,SVC 4,SVC,SVC,1,1,4,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
12,SVC 5,SVC,SVC,1,1,5,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
13,SVC 6,SVC,SVC,1,1,6,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
14,SVC 7,SVC,SVC,1,1,7,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
15,SVC 8,SVC,SVC,1,1,8,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
16,SVC 9,SVC,SVC,1,1,9,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
17,SVC 10,SVC,SVC,1,1,10,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
