1,1,2000,0.1,0,15,2,1,DR
2,2,2000,0.1,0,15,2,1,DR
3,3,2000,0.1,0,15,2,1,DR
4,4,2000,0.1,0,15,2,1,DR
5,5,2000,0.1,0,15,2,1,DR
6,6,2000,0.1,0,15,2,1,DR
7,7,2000,0.1,0,15,2,1,DR
8,8,2000,0.1,0,15,2,1,DR
9,9,2000,0.1,0,15,2,1,DR
10,10,2000,0.1,0,15,2,1,DR
11,11,2000,0.1,0,15,2,1,DR
12,12,2000,0.1,0,15,2,1,DR
13,13,2000,0.1,0,15,2,1,DR
14,14,2000,0.1,0,15,2,1,DR
15,15,2000,0.1,0,15,2,1,DR
16,16,2000,0.1,0,15,2,1,DR
17,17,2000,0.1,0,15,2,1,DR
18,18,2000,0.1,0,15,2,1,DR
19,19,2000,0.1,0,15,2,1,DR
20,20,2000,0.1,0,15,2,1,DR
21,21,2000,0.1,0,15,2,1,DR
22,22,2000,0.1,0,15,2,1,DR
23,23,2000,0.1,0,15,2,1,DR
24,24,2000,0.1,0,15,2,1,DR
25,25,2000,0.1,0,15,2,1,DR
26,26,2000,0.1,0,15,2,1,DR
27,27,2000,0.1,0,15,2,1,DR
28,28,2000,0.1,0,15,2,1,DR
29,29,2000,0.1,0,15,2,1,DR
30,30,2000,0.1,0,15,2,1,DR
31,31,2000,0.1,0,15,2,1,DR
32,32,2000,0.1,0,15,2,1,DR
