1,1,1,2025-07-01 00:00:00,1.445645645645646
2,1,1,2030-07-01 00:00:00,2.5788288288288292
3,1,1,2035-07-01 00:00:00,4.641741741741742
4,1,1,2040-07-01 00:00:00,7.6981981981982
5,1,1,2050-07-01 00:00:00,16.08063063063063
6,1,2,2025-07-01 00:00:00,3.9138138138138143
7,1,2,2030-07-01 00:00:00,16.42732732732733
8,1,2,2035-07-01 00:00:00,35.889339339339344
9,1,2,2040-07-01 00:00:00,56.59534534534536
10,1,2,2050-07-01 00:00:00,98.82462462462463
11,1,3,2025-07-01 00:00:00,3.6938438438438443
12,1,3,2030-07-01 00:00:00,21.50585585585586
13,1,3,2035-07-01 00:00:00,47.569369369369376
14,1,3,2040-07-01 00:00:00,74.07927927927928
15,1,3,2050-07-01 00:00:00,120.86486486486488
16,2,1,2025-07-01 00:00:00,0.6432432432432432
17,2,1,2030-07-01 00:00:00,1.1472972972972975
18,2,1,2035-07-01 00:00:00,2.0651651651651655
19,2,1,2040-07-01 00:00:00,3.4250750750750756
20,2,1,2050-07-01 00:00:00,7.154354354354356
21,2,2,2025-07-01 00:00:00,1.7412912912912915
22,2,2,2030-07-01 00:00:00,7.30870870870871
23,2,2,2035-07-01 00:00:00,15.967567567567569
24,2,2,2040-07-01 00:00:00,25.179879879879884
25,2,2,2050-07-01 00:00:00,43.96801801801802
26,2,3,2025-07-01 00:00:00,1.6433933933933937
27,2,3,2030-07-01 00:00:00,9.568168168168167
28,2,3,2035-07-01 00:00:00,21.164114114114117
29,2,3,2040-07-01 00:00:00,32.958558558558565
30,2,3,2050-07-01 00:00:00,53.77402402402403
31,3,1,2025-07-01 00:00:00,0.8623123123123125
32,3,1,2030-07-01 00:00:00,1.5381381381381383
33,3,1,2035-07-01 00:00:00,2.7684684684684684
34,3,1,2040-07-01 00:00:00,4.591591591591592
35,3,1,2050-07-01 00:00:00,9.591141141141142
36,3,2,2025-07-01 00:00:00,2.334384384384385
37,3,2,2030-07-01 00:00:00,9.7978978978979
