id,id_ess,scenario,date,value
1,1,1,2025-07-01 00:00:00,1.2134723788049608
2,1,1,2030-07-01 00:00:00,1.8322998872604286
3,1,1,2035-07-01 00:00:00,3.0067080045095835
4,1,1,2040-07-01 00:00:00,4.731736189402481
5,1,1,2050-07-01 00:00:00,9.376042841037204
6,1,2,2025-07-01 00:00:00,2.5298759864712514
7,1,2,2030-07-01 00:00:00,9.559582863585119
8,1,2,2035-07-01 00:00:00,21.134385569334842
9,1,2,2040-07-01 00:00:00,33.820969560315675
10,1,2,2050-07-01 00:00:00,58.72102593010146
11,1,3,2025-07-01 00:00:00,2.428184892897407
12,1,3,2030-07-01 00:00:00,11.794306651634725
13,1,3,2035-07-01 00:00:00,26.86319052987599
14,1,3,2040-07-01 00:00:00,42.62965050732808
15,1,3,2050-07-01 00:00:00,70.38821871476888
16,2,1,2025-07-01 00:00:00,0.5400789177001127
17,2,1,2030-07-01 00:00:00,0.8153889515219842
18,2,1,2035-07-01 00:00:00,1.3381059751972944
19,2,1,2040-07-01 00:00:00,2.1051296505073283
20,2,1,2050-07-01 00:00:00,4.171815107102593
21,2,2,2025-07-01 00:00:00,1.1254227733934612
22,2,2,2030-07-01 00:00:00,4.25304396843292
23,2,2,2035-07-01 00:00:00,9.402705749718152
24,2,2,2040-07-01 00:00:00,15.04718151071026
25,2,2,2050-07-01 00:00:00,26.125930101465617
26,2,3,2025-07-01 00:00:00,1.0801578354002255
27,2,3,2030-07-01 00:00:00,5.247632468996618
28,2,3,2035-07-01 00:00:00,11.951803833145433
29,2,3,2040-07-01 00:00:00,18.96600901916573
30,2,3,2050-07-01 00:00:00,31.316516347237883
31,3,1,2025-07-01 00:00:00,0.7236189402480271
32,3,1,2030-07-01 00:00:00,1.0925591882750847
33,3,1,2035-07-01 00:00:00,1.7932356257046225
34,3,1,2040-07-01 00:00:00,2.822547914317926
35,3,1,2050-07-01 00:00:00,5.5923900789177
36,3,2,2025-07-01 00:00:00,1.5092446448703496
37,3,2,2030-07-01 00:00:00,5.70152198421646
38,3,2,2035-07-01 00:00:00,12.605355129650508
39,3,2,2040-07-01 00:00:00,20.17204058624577
40,3,2,2050-07-01 00:00:00,35.023900789177006
41,3,3,2025-07-01 00:00:00,1.44847801578354
42,3,3,2030-07-01 00:00:00,7.034667418263812
43,3,3,2035-07-01 00:00:00,16.022547914317926
44,3,3,2040-07-01 00:00:00,25.425873731679825
45,3,3,2050-07-01 00:00:00,41.98229988726044
46,4,1,2025-07-01 00:00:00,0.5202367531003382
47,4,1,2030-07-01 00:00:00,0.7856257046223224
48,4,1,2035-07-01 00:00:00,1.289120631341601
49,4,1,2040-07-01 00:00:00,2.028241262683202
50,4,1,2050-07-01 00:00:00,4.019278466741826
51,4,2,2025-07-01 00:00:00,1.0844983089064264
52,4,2,2030-07-01 00:00:00,4.098027057497182
53,4,2,2035-07-01 00:00:00,9.0598083427283
54,4,2,2040-07-01 00:00:00,14.498421645997746
55,4,2,2050-07-01 00:00:00,25.172886133032694
56,4,3,2025-07-01 00:00:00,1.0410935738444194
57,4,3,2030-07-01 00:00:00,5.056031567080046
58,4,3,2035-07-01 00:00:00,11.515896279594138
59,4,3,2040-07-01 00:00:00,18.274633596392338
60,4,3,2050-07-01 00:00:00,30.17435174746336
61,5,1,2025-07-01 00:00:00,1.181228861330327
62,5,1,2030-07-01 00:00:00,1.783934611048478
63,5,1,2035-07-01 00:00:00,2.927339346110485
64,5,1,2040-07-01 00:00:00,4.606482525366404
65,5,1,2050-07-01 00:00:00,9.128635851183766
66,5,2,2025-07-01 00:00:00,2.4635287485907553
67,5,2,2030-07-01 00:00:00,9.307215332581737
68,5,2,2035-07-01 00:00:00,20.575704622322437
69,5,2,2040-07-01 00:00:00,32.92683201803833
70,5,2,2050-07-01 00:00:00,57.16899661781285
71,5,3,2025-07-01 00:00:00,2.3643179255918834
72,5,3,2030-07-01 00:00:00,11.48241262683202
73,5,3,2035-07-01 00:00:00,26.1532130777903
74,5,3,2040-07-01 00:00:00,41.50298759864714
75,5,3,2050-07-01 00:00:00,68.52739571589629
76,6,1,2025-07-01 00:00:00,1.7442502818489292
77,6,1,2030-07-01 00:00:00,2.634047350620068
78,6,1,2035-07-01 00:00:00,4.322491544532132
79,6,1,2040-07-01 00:00:00,6.8015219842164605
80,6,1,2050-07-01 00:00:00,13.477790304396844
81,6,2,2025-07-01 00:00:00,3.636696730552424
82,6,2,2030-07-01 00:00:00,13.741939120631342
83,6,2,2035-07-01 00:00:00,30.380214205186018
84,6,2,2040-07-01 00:00:00,48.61578354002255
85,6,2,2050-07-01 00:00:00,84.40918827508456
86,6,3,2025-07-01 00:00:00,3.4903607666290863
87,6,3,2030-07-01 00:00:00,16.953889515219842
88,6,3,2035-07-01 00:00:00,38.614712514092446
89,6,3,2040-07-01 00:00:00,61.27756482525367
90,6,3,2050-07-01 00:00:00,101.1795377677565
91,7,1,2025-07-01 00:00:00,1.1651071025930102
92,7,1,2030-07-01 00:00:00,1.75913190529876
93,7,1,2035-07-01 00:00:00,2.8876550169109363
94,7,1,2040-07-01 00:00:00,4.543855693348366
95,7,1,2050-07-01 00:00:00,9.00338218714769
96,7,2,2025-07-01 00:00:00,2.4294250281848933
97,7,2,2030-07-01 00:00:00,9.179481397970688
98,7,2,2035-07-01 00:00:00,20.29357384441939
99,7,2,2040-07-01 00:00:00,32.47542277339346
100,7,2,2050-07-01 00:00:00,56.385231116121766
101,7,3,2025-07-01 00:00:00,2.331454340473506
102,7,3,2030-07-01 00:00:00,11.324915445321308
103,7,3,2035-07-01 00:00:00,25.79481397970688
104,7,3,2040-07-01 00:00:00,40.9337655016911
105,7,3,2050-07-01 00:00:00,67.5879932356257
106,8,1,2025-07-01 00:00:00,0.3962232243517475
107,8,1,2030-07-01 00:00:00,0.5977452085682075
108,8,1,2035-07-01 00:00:00,0.9815670800450959
109,8,1,2040-07-01 00:00:00,1.5439684329199552
110,8,1,2050-07-01 00:00:00,3.060033821871477
111,8,2,2025-07-01 00:00:00,0.8259301014656146
112,8,2,2030-07-01 00:00:00,3.1195603156708005
113,8,2,2035-07-01 00:00:00,6.897632468996619
114,8,2,2040-07-01 00:00:00,11.03782412626832
115,8,2,2050-07-01 00:00:00,19.16381059751973
116,8,3,2025-07-01 00:00:00,0.792446448703495
117,8,3,2030-07-01 00:00:00,3.8493799323562574
118,8,3,2035-07-01 00:00:00,8.767136414881623
119,8,3,2040-07-01 00:00:00,13.912457722660655
120,8,3,2050-07-01 00:00:00,22.97164599774521
