1,1,2000,0.1,0,15,2,1,Storage
2,2,2000,0.1,0,15,2,1,Storage
3,3,2000,0.1,0,15,2,1,Storage
4,4,2000,0.1,0,15,2,1,Storage
5,5,2000,0.1,0,15,2,1,Storage
6,6,2000,0.1,0,15,2,1,Storage
7,7,2000,0.1,0,15,2,1,Storage
8,8,2000,0.1,0,15,2,1,Storage
9,9,898212,0.1,0,20,40,1,Storage
10,10,898212,0.1,0,20,40,1,Storage
11,11,898212,0.1,0,20,40,1,Storage
12,12,898212,0.1,0,20,40,1,Storage
13,13,898212,0.1,0,20,40,1,Storage
14,14,898212,0.1,0,20,40,1,Storage
15,15,898212,0.1,0,20,40,1,Storage
16,16,898212,0.1,0,20,40,1,Storage
17,17,898212,0.1,0,20,40,1,Storage
18,18,1288292.64,0.1,0,20,40,1,Storage
19,19,1288292.64,0.1,0,20,40,1,Storage
20,20,1288292.64,0.1,0,20,40,1,Storage
21,21,1288292.64,0.1,0,20,40,1,Storage
22,22,1288292.64,0.1,0,20,40,1,Storage
23,23,1288292.64,0.1,0,20,40,1,Storage
24,24,1288292.64,0.1,0,20,40,1,Storage
25,25,1288292.64,0.1,0,20,40,1,Storage
26,26,1288292.64,0.1,0,20,40,1,Storage
